####FF_50k records
11000,1,0.10
11000,2,0.15
11000,3,0.20
11000,4,0.25
11000,5,0.30
11000,6,0.35
11000,7,0.40
11000,9,0.45
11000,10,0.50

####FF_100k records
11001,1,0.10
11001,2,0.15
11001,3,0.20
11001,4,0.25
11001,5,0.30
11001,6,0.35
11001,7,0.40
11001,9,0.45
11001,10,0.50

####FF_200k records
11002,1,0.10
11002,2,0.15
11002,3,0.20
11002,4,0.25
11002,5,0.30
11002,6,0.35
11002,7,0.40
11002,9,0.45
11002,10,0.50

####FF_300k records
11003,1,0.10
11003,2,0.15
11003,3,0.20
11003,4,0.25
11003,5,0.30
11003,6,0.35
11003,7,0.40
11003,9,0.45
11003,10,0.50

####FF_400k records
11004,1,0.10
11004,2,0.15
11004,3,0.20
11004,4,0.25
11004,5,0.30
11004,6,0.35
11004,7,0.40
11004,9,0.45
11004,10,0.50

####FF_500k records
11005,1,0.10
11005,2,0.15
11005,3,0.20
11005,4,0.25
11005,5,0.30
11005,6,0.35
11005,7,0.40
11005,9,0.45
11005,10,0.50

####FF_600k records
11006,1,0.10
11006,2,0.15
11006,3,0.20
11006,4,0.25
11006,5,0.30
11006,6,0.35
11006,7,0.40
11006,9,0.45
11006,10,0.50

####FF_700k records
11007,1,0.10
11007,2,0.15
11007,3,0.20
11007,4,0.25
11007,5,0.30
11007,6,0.35
11007,7,0.40
11007,9,0.45
11007,10,0.50

####FF_800k records
11008,1,0.10
11008,2,0.15
11008,3,0.20
11008,4,0.25
11008,5,0.30
11008,6,0.35
11008,7,0.40
11008,9,0.45
11008,10,0.50

####FF_900k records
11009,1,0.10
11009,2,0.15
11009,3,0.20
11009,4,0.25
11009,5,0.30
11009,6,0.35
11009,7,0.40
11009,9,0.45
11009,10,0.50


####FF_1M records
11010,1,0.10
11010,2,0.15
11010,3,0.20
11010,4,0.25
11010,5,0.30
11010,6,0.35
11010,7,0.40
11010,9,0.45
11010,10,0.50



####RANDOM_N_50k records
12000,1,0.10
12000,2,0.15
12000,3,0.20
12000,4,0.25
12000,5,0.30
12000,6,0.35
12000,7,0.40
12000,9,0.45
12000,10,0.50

####RANDOM_N_100k records
12001,1,0.10
12001,2,0.15
12001,3,0.20
12001,4,0.25
12001,5,0.30
12001,6,0.35
12001,7,0.40
12001,9,0.45
12001,10,0.50

####RANDOM_N_200k records
12002,1,0.10
12002,2,0.15
12002,3,0.20
12002,4,0.25
12002,5,0.30
12002,6,0.35
12002,7,0.40
12002,9,0.45
12002,10,0.50

####RANDOM_N_300k records
12003,1,0.10
12003,2,0.15
12003,3,0.20
12003,4,0.25
12003,5,0.30
12003,6,0.35
12003,7,0.40
12003,9,0.45
12003,10,0.50

####RANDOM_N_400k records
12004,1,0.10
12004,2,0.15
12004,3,0.20
12004,4,0.25
12004,5,0.30
12004,6,0.35
12004,7,0.40
12004,9,0.45
12004,10,0.50

####RANDOM_N_500k records
12005,1,0.10
12005,2,0.15
12005,3,0.20
12005,4,0.25
12005,5,0.30
12005,6,0.35
12005,7,0.40
12005,9,0.45
12005,10,0.50

####RANDOM_N_600k records
12006,1,0.10
